Word,Count
film,17220
movie,9868
like,7170
story,6923
director,5525
time,5373
just,4689
life,4302
good,3464
man,3392
little,3386
way,3340
make,3218
films,3185
love,3143
characters,3108
best,3031
new,3002
doesn,2875
does,2874
