,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.579910898208618,0.03970516193564817,0.38245530128479005,0.009184312994103125,500,{'ridge__alpha': 500},0.5083723770234116,0.5026406481764425,0.5396937154248931,0.5514489570330738,0.5646666827905926,0.5333644760896827,0.024147440788959175,1,0.8431819667512002,0.8455337888001535,0.840247816962265,0.8402570214043794,0.8401367268475908,0.8418714641531178,0.00216249892431747
1,1.9249663829803467,0.2516753330031508,0.38314342498779297,0.017119038409826873,550,{'ridge__alpha': 550},0.5059446903201132,0.5003213437002774,0.5369283714011038,0.5479895465342107,0.5618323735400211,0.5306032650991452,0.023843603081844363,2,0.832061338379066,0.8344648703634615,0.8289251650394702,0.8290109933343288,0.8288062169096563,0.8306537168051966,0.0022630058511835588
2,1.6387715339660645,0.05195073752300545,0.36674866676330564,0.03303405253204299,600,{'ridge__alpha': 600},0.5033702273939411,0.4978189920827386,0.5340437402973917,0.5444213618748184,0.5588732657765679,0.5277055174850915,0.02356451484790928,3,0.821530311042412,0.8239754212095135,0.8182029439255369,0.8183715292672167,0.8180754797556907,0.820031137040074,0.0023548283901935535
3,2.0945502281188966,0.17348747133182998,0.3882429122924805,0.013407512780635709,650,{'ridge__alpha': 650},0.5007170897322941,0.49519253049527934,0.531078934103294,0.5409413069441915,0.5558817173920387,0.5247623157334195,0.023335045216559044,4,0.8115264056486224,0.8140063953682353,0.8080178792823228,0.8082739575244777,0.8078840536692939,0.8099417382985905,0.0024392375842745774
4,1.6815021991729737,0.06010086132028158,0.36814146041870116,0.017322832840569322,700,{'ridge__alpha': 700},0.49800609066548307,0.4925174670673679,0.5280660339402394,0.5375076432886996,0.5528088407643184,0.5217812151452217,0.02311344429801913,5,0.8019985384096626,0.8045065760965803,0.7983181776208738,0.7986655380929328,0.7981777806425137,0.8003333221725125,0.0025170484309549514
5,1.5513271808624267,0.019353701724343482,0.3771955966949463,0.012462647452130755,750,{'ridge__alpha': 750},0.4953101548277069,0.48981352263515987,0.5250203990202584,0.5340758694368707,0.5497077104976307,0.5187855312835252,0.022888074487605152,6,0.7929029064302534,0.795433547498758,0.7890592862037009,0.7894985689126892,0.7889127303020338,0.7911614078694871,0.0025893819318717182
6,1.9673810958862306,0.3080753118234793,0.4291804790496826,0.06526236075529243,800,{'ridge__alpha': 800},0.4925423378234868,0.48697718838540116,0.5219713246961966,0.5306869359149382,0.5466232548474337,0.5157602083334913,0.022721991775524683,7,0.784199852924052,0.7867492152621574,0.780201627814868,0.7807339435882945,0.7800487158506154,0.7823866710879975,0.002656741501456978
7,1.6533217430114746,0.2164321370053348,0.36345643997192384,0.03984930997015341,850,{'ridge__alpha': 850},0.4897736174807077,0.48425929285273084,0.5189425164158938,0.5273508080599734,0.543544985482096,0.5127742440582803,0.022536608418128424,8,0.7758568789658988,0.7784207999737318,0.7717121111743889,0.7723372051315188,0.7715522654149869,0.7739758521321051,0.002719532421420942
8,1.5707890033721923,0.014996517385772715,0.3689488410949707,0.007650258751531799,900,{'ridge__alpha': 900},0.4869673811069567,0.4814515689673554,0.5158852914396826,0.5240673627396526,0.5404614888913823,0.509766618629006,0.022386030324445565,9,0.7678454998803337,0.770420791679741,0.7635612190110082,0.7642780033003034,0.763395853174206,0.7659002734091184,0.002778274570868096
9,1.9835564136505126,0.34859396588076347,0.4666346549987793,0.10993324023772554,950,{'ridge__alpha': 950},0.4842376314496437,0.47868782730466297,0.5128832896196436,0.5208469447472752,0.5374368394022015,0.5068185065046854,0.022236420636814445,10,0.7601386768927858,0.7627226149387114,0.7557218726115755,0.7565302782359531,0.7555500032234981,0.7581326891805048,0.002833422992933939
